Consequent	Antecedent 	Support %	Confidence %
ItemID_151	hour_20	15.96641040356708	29.08379910335157
ItemID_151	student_group_F0	10.474202357452336	19.839836223506744
ItemID_151	hour_21	13.276593866083083	16.811153599505975
ItemID_128	hour_23	20.315525255264536	12.979433449747768
ItemID_151	student_group_F1	10.941845724989122	11.619931410127094
ItemID_154	hour_22	17.706750083564053	11.422567317281663
ItemID_128	hour_0	15.691752700853298	11.41634178690567
ItemID_151	hour_22	17.706750083564053	11.219546944009117
ItemID_154	hour_21	13.276593866083083	10.963589292924494
ItemID_151	student_group_F3	26.591974066762948	10.831386592986991
ItemID_151	student_group_F4	17.06346453415405	10.570668243642816
ItemID_154	hour_23	20.315525255264536	10.430733410942956
ItemID_128	hour_22	17.706750083564053	10.33979199316142
ItemID_128	student_group_F4	17.06346453415405	10.317489651094029
