ItemID,Time slot,SellingPriceDec
1,16,7
1,17,7
1,18,7
1,19,7
1,20,7
1,21,7
1,22,7
1,23,7
1,24,7
1,0,7
1,1,7
2,16,8
2,17,8
2,18,8
2,19,8
2,20,8
2,21,8
2,22,8
2,23,8
2,24,8
2,0,8
2,1,8
3,16,12
3,17,12
3,18,12
3,19,12
3,20,12
3,21,12
3,22,12
3,23,12
3,24,12
3,0,12
3,1,12
4,16,21
4,17,21
4,18,21
4,19,21
4,20,21
4,21,21
4,22,21
4,23,21
4,24,21
4,0,21
4,1,21
5,16,8
5,17,8
5,18,8
5,19,8
5,20,8
5,21,8
5,22,8
5,23,8
5,24,8
5,0,8
5,1,8
6,16,10
6,17,10
6,18,10
6,19,10
6,20,10
6,21,10
6,22,10
6,23,10
6,24,10
6,0,10
6,1,10
12,16,30
12,17,30
12,18,30
12,19,30
12,20,30
12,21,30
12,22,30
12,23,30
12,24,30
12,0,30
12,1,30
14,16,10
14,17,10
14,18,10
14,19,10
14,20,10
14,21,10
14,22,10
14,23,10
14,24,10
14,0,10
14,1,10
15,16,35
15,17,35
15,18,35
15,19,35
15,20,35
15,21,35
15,22,35
15,23,35
15,24,35
15,0,35
15,1,35
16,16,5
16,17,5
16,18,5
16,19,5
16,20,5
16,21,5
16,22,5
16,23,5
16,24,5
16,0,5
16,1,5
18,16,55
18,17,55
18,18,55
18,19,55
18,20,55
18,21,55
18,22,55
18,23,55
18,24,55
18,0,55
18,1,55
19,16,20
19,17,20
19,18,20
19,19,20
19,20,20
19,21,20
19,22,20
19,23,20
19,24,20
19,0,20
19,1,20
20,16,25
20,17,25
20,18,25
20,19,25
20,20,25
20,21,25
20,22,25
20,23,25
20,24,25
20,0,25
20,1,25
21,16,30
21,17,30
21,18,30
21,19,30
21,20,30
21,21,30
21,22,30
21,23,30
21,24,30
21,0,30
21,1,30
22,16,15
22,17,15
22,18,15
22,19,15
22,20,15
22,21,15
22,22,15
22,23,15
22,24,15
22,0,15
22,1,15
23,16,20
23,17,20
23,18,20
23,19,20
23,20,20
23,21,20
23,22,20
23,23,20
23,24,20
23,0,20
23,1,20
24,16,25
24,17,25
24,18,25
24,19,25
24,20,25
24,21,25
24,22,25
24,23,25
24,24,25
24,0,25
24,1,25
25,16,10
25,17,10
25,18,10
25,19,10
25,20,10
25,21,10
25,22,10
25,23,10
25,24,10
25,0,10
25,1,10
26,16,5
26,17,5
26,18,5
26,19,5
26,20,5
26,21,5
26,22,5
26,23,5
26,24,5
26,0,5
26,1,5
41,16,15
41,17,15
41,18,15
41,19,15
41,20,15
41,21,15
41,22,15
41,23,15
41,24,15
41,0,15
41,1,15
45,16,10
45,17,10
45,18,10
45,19,10
45,20,10
45,21,10
45,22,10
45,23,10
45,24,10
45,0,10
45,1,10
46,16,18
46,17,18
46,18,18
46,19,18
46,20,18
46,21,18
46,22,18
46,23,18
46,24,18
46,0,18
46,1,18
47,16,10
47,17,10
47,18,10
47,19,10
47,20,10
47,21,10
47,22,10
47,23,10
47,24,10
47,0,10
47,1,10
48,16,10
48,17,10
48,18,10
48,19,10
48,20,10
48,21,10
48,22,10
48,23,10
48,24,10
48,0,10
48,1,10
49,16,20
49,17,20
49,18,20
49,19,20
49,20,20
49,21,20
49,22,20
49,23,20
49,24,20
49,0,20
49,1,20
50,16,20
50,17,20
50,18,20
50,19,20
50,20,20
50,21,20
50,22,20
50,23,20
50,24,20
50,0,20
50,1,20
51,16,15
51,17,15
51,18,15
51,19,15
51,20,15
51,21,15
51,22,15
51,23,15
51,24,15
51,0,15
51,1,15
54,16,20
54,17,20
54,18,20
54,19,20
54,20,20
54,21,20
54,22,20
54,23,20
54,24,20
54,0,20
54,1,20
73,16,30
73,17,30
73,18,30
73,19,30
73,20,30
73,21,30
73,22,30
73,23,30
73,24,30
73,0,30
73,1,30
74,16,25
74,17,25
74,18,25
74,19,25
74,20,25
74,21,25
74,22,25
74,23,25
74,24,25
74,0,25
74,1,25
76,16,33
76,17,33
76,18,33
76,19,33
76,20,33
76,21,33
